,smiles,solvent,logsol,SP,SdP,SA,SB
33817,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)CO,-2.9570886499617863,0.657,0.684,0.311,0.828
35895,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,C1CCOC1,-4.166915255056936,0.714,0.634,0.0,0.591
10499,O=C(O)Cc1ccccc1[N+](=O)[O-],CCCO,-3.2971076731377744,0.658,0.748,0.367,0.782
9650,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],CCO,-6.705631094892003,0.633,0.783,0.4,0.658
46485,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCOCC,-4.472389074754273,0.617,0.385,0.0,0.562
44902,CC(=O)c1ccc(S(C)(=O)=O)cc1,OCCO,-3.483492624388985,0.777,0.91,0.717,0.534
1128,O=C(O)Cc1c[nH]c2ccccc12,CO,-11.188670412287609,0.608,0.904,0.605,0.545
12434,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,CCCO,-5.0955398011867,0.658,0.748,0.367,0.782
1158,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,CO,-4.173387769562553,0.608,0.904,0.605,0.545
44785,O=C1C=CC(=O)N1c1ccccc1Br,OCCO,-4.622112906718403,0.777,0.91,0.717,0.534
45020,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,OCCO,-10.15348855802022,0.777,0.91,0.717,0.534
10310,O=C(O)c1cccc([N+](=O)[O-])c1O,CCCO,-2.5374217428993013,0.658,0.748,0.367,0.782
40687,CCc1occc(=O)c1O,O,-5.914503505971854,0.681,0.997,1.062,0.025
35281,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCCO,-4.905194781638259,0.687,0.587,0.319,0.86
35568,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,C1CCOC1,-6.087975447488826,0.714,0.634,0.0,0.591
38079,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],C1COCCO1,-9.211340872309766,0.737,0.312,0.0,0.444
10099,Cc1cc(Cl)cc(C(=O)O)c1N,CCCO,-4.824321716032764,0.658,0.748,0.367,0.782
28170,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CC(C)O,-9.21887670299847,0.633,0.808,0.283,0.83
6912,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CCO,-5.918771861714541,0.633,0.783,0.4,0.658
35431,Nc1nc(N)nc(NC2CC2)n1,CCCCCO,-6.555690947601088,0.687,0.587,0.319,0.86
19949,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,CC(C)=O,-4.069261781854637,0.651,0.907,0.0,0.475
20082,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCOC(C)=O,-5.683979847360021,0.656,0.603,0.0,0.542
1758,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CO,-7.995427627611912,0.608,0.904,0.605,0.545
18081,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CC(C)=O,-5.425696295877867,0.651,0.907,0.0,0.475
3471,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CO,-9.91273013390306,0.608,0.904,0.605,0.545
16440,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCCCO,-5.420033125232133,0.674,0.655,0.341,0.809
52426,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CCCCCCO,-1.806670081963809,0.698,0.552,0.315,0.879
47016,O=C(O)[C@@H]1C[C@@H](O)CN1,COC(C)=O,-8.785072636571838,0.645,0.637,0.0,0.527
1139,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CO,-6.16581793425276,0.608,0.904,0.605,0.545
36668,Cc1ccc(NC(=O)/C(=C/Cl)Sc2ccccc2)cc1,CCC(C)=O,-2.5613558219514063,0.669,0.872,0.0,0.52
1353,NC(=O)c1cccnc1,CO,-2.283274743709551,0.608,0.904,0.605,0.545
26033,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,CC#N,-3.931052931334952,0.645,0.974,0.044,0.286
36291,O=C(Nc1ccccc1)c1ccccc1,CCC(C)=O,-3.372609924810243,0.669,0.872,0.0,0.52
7211,COC(=O)/C=C/C(=O)OC,CCO,-4.701570960274446,0.633,0.783,0.4,0.658
45117,O=C(O)c1ccccc1,OCCO,-2.675099100962524,0.777,0.91,0.717,0.534
7696,O=C(Oc1ccccc1)c1ccccc1O,CCO,-1.2402910670000475,0.633,0.783,0.4,0.658
38898,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C1COCCO1,-7.052781051032395,0.737,0.312,0.0,0.444
45464,CC[C@@H](C(N)=O)N1CCCC1=O,C1CCCCC1,-9.922262707862462,0.683,0.0,0.0,0.073
36272,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCC(C)=O,-5.625433508245225,0.669,0.872,0.0,0.52
13684,O=C(O)c1cccc(O)c1O,CCCCO,-2.51875303057183,0.674,0.655,0.341,0.809
38433,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,C1COCCO1,-1.9428149441480107,0.737,0.312,0.0,0.444
47027,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],COC(C)=O,-5.121008351577626,0.645,0.637,0.0,0.527
20891,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCOC(C)=O,-8.87386813535497,0.656,0.603,0.0,0.542
36408,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)=O,-7.824046010856292,0.669,0.872,0.0,0.52
15259,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O.O,CCCCO,-3.429596856183853,0.674,0.655,0.341,0.809
16888,O=C([O-])/C=C/C(=O)O.[Na+],CC(C)=O,-10.183201455338732,0.651,0.907,0.0,0.475
1247,NNC(=O)c1ccncc1,CO,-4.494076138482504,0.608,0.904,0.605,0.545
27208,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)O,-8.778557955550644,0.633,0.808,0.283,0.83
16642,NC(=O)[C@@H]1CCCN1,CC(C)=O,-1.8682734103283016,0.651,0.907,0.0,0.475
14317,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCCCO,-8.517193191416238,0.674,0.655,0.341,0.809
48734,O=C(NC1=NCCC2(CCCCC2)S1)c1ccccc1,CCCCCC,-8.573763542904631,0.616,0.0,0.0,0.056
11220,NNC(=O)c1ccncc1,CCCO,-5.307761825376036,0.658,0.748,0.367,0.782
16730,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CC(C)=O,-5.44311195145127,0.651,0.907,0.0,0.475
26615,COc1cc(Cl)nc(N)n1,CC#N,-5.25296166482724,0.645,0.974,0.044,0.286
26844,C/C=C/C=C/C(=O)O,CC#N,-4.209082239692524,0.645,0.974,0.044,0.286
25300,NC(=O)c1ccc(N)cc1,CC#N,-5.81516106263959,0.645,0.974,0.044,0.286
36312,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCC(C)=O,-4.339128077702603,0.669,0.872,0.0,0.52
24280,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC#N,-5.780231646819607,0.645,0.974,0.044,0.286
24448,O=C(O)c1cccc(O)c1O,CC#N,-4.219227744368791,0.645,0.974,0.044,0.286
49460,COC(=O)c1ccc(C(=O)OC)cc1,ClC(Cl)Cl,-2.333717723053134,0.783,0.614,0.047,0.071
21460,O=C(O)Cc1cccc2ccccc12,CCOC(C)=O,-1.9661128563728327,0.656,0.603,0.0,0.542
38129,N[C@H](Cc1c[nH]cn1)C(=O)O,C1COCCO1,-4.588313068921669,0.737,0.312,0.0,0.444
23591,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCOC(C)=O,-3.1540248525485843,0.656,0.603,0.0,0.542
13646,OCC(O)COc1ccc(Cl)cc1,CCCCO,-2.3822778619032943,0.674,0.655,0.341,0.809
39895,[NH3+]O.[NH3+]O.[O-]n1nnnc1-c1nnnn1[O-],O,-10.322341897763309,0.681,0.997,1.062,0.025
24623,CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,CC#N,-7.631361667026791,0.645,0.974,0.044,0.286
13674,O=C(Nc1ccccc1)c1ccccc1O,CCCCO,-3.699843338438933,0.674,0.655,0.341,0.809
41918,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,O,-10.270212832328362,0.681,0.997,1.062,0.025
47064,O=C(O)c1cccc(O)c1O,COC(C)=O,-2.779653619961903,0.645,0.637,0.0,0.527
5255,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CCO,-8.485210145563187,0.633,0.783,0.4,0.658
36015,O=C(O)c1ccccc1C(=O)O,C1CCOC1,-2.5845502051165976,0.714,0.634,0.0,0.591
20664,COc1cc([N+](=O)[O-])ccc1N,CCOC(C)=O,-3.025161084244803,0.656,0.603,0.0,0.542
23873,O=C(O)CNCc1ccccc1,ClCCl,-9.772459290129724,0.761,0.769,0.04,0.178
22556,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2S1=O,CCOC(C)=O,-5.757563070340848,0.656,0.603,0.0,0.542
49259,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,CCOC=O,-5.504530057202265,0.648,0.707,0.0,0.477
24727,O=C(O)Cc1ccc([N+](=O)[O-])cc1,CC#N,-3.283414346005772,0.645,0.974,0.044,0.286
722,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,CO,-8.297254771050977,0.608,0.904,0.605,0.545
9800,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CCO,-4.5803507521715785,0.633,0.783,0.4,0.658
47586,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,COC(C)=O,-4.4236823099427145,0.645,0.637,0.0,0.527
31602,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=C1CCCCC1,-1.637323115923636,0.766,0.745,0.0,0.482
10595,CC(=O)N[C@@H](CC(C)C)C(=O)O,CCCO,-3.4139787160268886,0.658,0.748,0.367,0.782
38627,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc2ccc(=O)oc2c1,C1COCCO1,-5.077737097636992,0.737,0.312,0.0,0.444
21671,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,CCOC(C)=O,-2.983171491509133,0.656,0.603,0.0,0.542
16580,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)=O,-6.18796616747577,0.651,0.907,0.0,0.475
48639,Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,-13.17365667179188,0.616,0.0,0.0,0.056
47257,NC(=O)c1ccc(N)cc1,COC(C)=O,-6.13118649028312,0.645,0.637,0.0,0.527
45098,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],OCCO,-5.620176890801404,0.777,0.91,0.717,0.534
24156,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,ClCCl,-3.868006120011372,0.761,0.769,0.04,0.178
41233,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,O,-6.37067728407208,0.681,0.997,1.062,0.025
10455,CC(=O)NCC(=O)O,CCCO,-5.654421045118477,0.658,0.748,0.367,0.782
5011,O=C(O)Cc1ccc([N+](=O)[O-])cc1,CCO,-2.05572501506252,0.633,0.783,0.4,0.658
33090,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,Cc1ccccc1,-6.7072664182327335,0.782,0.284,0.0,0.128
9406,Cc1ccc(C(C)C)c(O)c1,CCO,-0.3713535784793965,0.633,0.783,0.4,0.658
23913,CC(=O)N1CCC[C@H]1C(=O)O,ClCCl,-2.3285184750205503,0.761,0.769,0.04,0.178
20500,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCOC(C)=O,-5.691063702248426,0.656,0.603,0.0,0.542
14115,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CCCCO,-9.494030423158426,0.674,0.655,0.341,0.809
25339,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC#N,-5.737752994227354,0.645,0.974,0.044,0.286
33758,OCC(O)COc1ccc(Cl)cc1,CC(C)CO,-2.768118727568329,0.657,0.684,0.311,0.828
8403,N[C@H](Cc1c[nH]cn1)C(=O)O,CCO,-7.744772829961784,0.633,0.783,0.4,0.658
8888,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCO,-8.455627835758083,0.633,0.783,0.4,0.658
4475,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CCO,-8.01339218258721,0.633,0.783,0.4,0.658
52932,CCCCCCN1C=CN(C)C1.O=[N+]([O-])O,CCCCC,-7.455936689291897,0.593,0.0,0.0,0.073
5193,O=C(O)c1cccnc1Cl,CCO,-4.653835357969372,0.633,0.783,0.4,0.658
27550,CCCOC(=O)c1ccc(O)cc1,CC(C)O,-1.572623939311384,0.633,0.808,0.283,0.83
49798,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,ClC(Cl)Cl,-5.071181793964289,0.783,0.614,0.047,0.071
49398,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,ClC(Cl)Cl,-4.688551794927142,0.783,0.614,0.047,0.071
34209,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,CC(C)CO,-10.247105257318212,0.657,0.684,0.311,0.828
19192,O=C(O)COc1ccc(Cl)cc1Cl,CC(C)=O,-1.816462081868427,0.651,0.907,0.0,0.475
8289,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CCO,-7.011783349406184,0.633,0.783,0.4,0.658
22177,O=C(O)c1cccc(Cl)c1C(=O)c1ccccc1,CCOC(C)=O,-4.355969100354592,0.656,0.603,0.0,0.542
