,smiles,solvent,logsol
32454,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],Cc1ccccc1,-8.536376010833012
27985,Nc1nnn[nH]1,CC(C)O,-6.758473576266383
39591,Cc1n[nH]c2cc([N+](=O)[O-])ccc12,O,-9.43223470388996
49162,Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],CC(C)CCO,-4.784296851885527
41858,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,O,-6.172027650887073
19373,Clc1ccc2c(c1)Nc1ccccc1S2,CC(C)=O,-3.1679450961996576
37717,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCC(C)O,-7.799353398265921
10198,O=C(Nc1ccccc1)c1ccccc1O,CCCO,-3.6264794680132497
15853,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCO,-7.338999840077789
39613,O=Cc1cc([N+](=O)[O-])ccc1O,O,-9.116850028888845
20330,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCOC(C)=O,-3.146555163288575
22886,N#CCc1ccc([N+](=O)[O-])cc1,CCOC(C)=O,-1.77313400510489
6141,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CCO,-5.090003229479828
43386,c1ccc2cc3ccccc3cc2c1,CN(C)C=O,-4.990832666800076
50285,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCC(=O)OC,-4.329054749907776
47577,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,COC(C)=O,-4.811948383216037
27520,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,CC(C)O,-10.410985386209443
25008,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CC#N,-4.177291483043027
8956,N#Cc1ccc2c(c1)OCO2,CCO,-3.843897176380546
2617,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,CO,-7.516561311108331
8926,O=Cc1cc(Br)c(O)c(Br)c1,CCO,-5.19449803790904
20337,Cl.N=C(N=C(N)N)N1CCOCC1,CCOC(C)=O,-9.053336623166517
18902,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CC(C)=O,-7.459402897268383
41496,CP(=O)(O)CC[C@H](N)C(=O)O,O,-3.022076248893593
24525,Cl.N=C(N=C(N)N)N1CCOCC1,CC#N,-9.053336623166517
46300,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CS(C)=O,-7.267434731941168
13594,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCO,-3.7631720586957913
19561,O=[N+]([O-])c1ccc(O)c2ncccc12,CC(C)=O,-4.790416014299293
8898,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CCO,-3.7017620799449498
47284,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,COC(C)=O,-8.124745780389377
44073,O=c1cc(CBr)c2ccccc2[nH]1,CN1CCCC1=O,-4.524512282970637
37943,O=C1N=c2ccccc2=N1,C1COCCO1,-5.616348686894565
42140,O=C(O)CC(O)C(=O)O,O,-1.8263509139976741
3331,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,CO,-7.046213072129704
16304,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCCCO,-4.699810590142213
4690,O=C(O)c1cccc(O)c1O,CCO,-2.3296480125437347
6472,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCO,-10.099502436462085
23930,O=C[C@H](O)[C@H](O)[C@H](O)CO,ClCCl,-7.543955179100332
6081,O=c1nc[nH]c2[nH]ncc12,CCO,-9.31948581923698
28701,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,CC(C)O,-6.891881929825847
28225,NC(=O)c1ccc(N)cc1,CC(C)O,-5.32527754813082
30234,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC(C)O,-7.311222384427628
26920,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CC#N,-10.719932949440567
27723,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC(C)O,-9.699730715022108
27083,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC(C)O,-5.306147945663225
23782,O=C1C=CC(=O)O1,CCOC(C)=O,-3.222632873745913
46660,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ClC(Cl)(Cl)Cl,-5.665908822228119
37329,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)O,-4.772406105364005
46694,Cc1ccc(N)c([N+](=O)[O-])c1,ClC(Cl)(Cl)Cl,-5.018113183952215
359,O=C(O)c1cccc(C(=O)O)n1,CO,-4.439232108444661
8500,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],CCO,-5.2152638114127505
17569,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,CC(C)=O,-6.51166733268657
50385,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,COC(C)(C)C,-4.6535204469291385
17034,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CC(C)=O,-7.050010326563008
16883,Oc1ccc(OCc2ccccc2)cc1,CC(C)=O,-10.381523353479128
47044,CCOc1ccccc1C(N)=O,COC(C)=O,-4.256628225279548
50952,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,CC(=O)O,-7.971966140932914
33817,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)CO,-2.9570886499617863
35895,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,C1CCOC1,-4.166915255056936
25794,O=[N+]([O-])N1CN2CN(C1)CN([N+](=O)[O-])C2,CC#N,-15.303695904971715
3452,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CO,-4.605770366060124
10499,O=C(O)Cc1ccccc1[N+](=O)[O-],CCCO,-3.2971076731377744
9650,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],CCO,-6.705631094892003
49478,N#CCC(N)=O,ClC(Cl)Cl,-6.735484058041684
46485,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCOCC,-4.472389074754273
44902,CC(=O)c1ccc(S(C)(=O)=O)cc1,OCCO,-3.4834926243889854
1128,O=C(O)Cc1c[nH]c2ccccc12,CO,-11.188670412287607
44150,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,CN1CCCC1=O,-1.7209282884674635
12434,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,CCCO,-5.0955398011867
17348,Nc1cc([N+](=O)[O-])ccc1Cl,CC(C)=O,-1.7826015314432895
3366,Nc1cc(Cl)cc(Cl)c1,CO,-1.039023497256452
1158,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,CO,-4.173387769562553
3767,Clc1ccc2c(c1)Nc1ccccc1S2,CO,-5.040733741920289
44785,O=C1C=CC(=O)N1c1ccccc1Br,OCCO,-4.622112906718403
45020,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,OCCO,-10.15348855802022
46063,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,CS(C)=O,-9.26447981807683
46033,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,CS(C)=O,-4.620689997646128
50588,Nc1ccc(Oc2ccc(N)cc2)cc1,CC(=O)N(C)C,-1.9173362977381325
10310,O=C(O)c1cccc([N+](=O)[O-])c1O,CCCO,-2.5374217428993013
10969,O=Cc1cc([N+](=O)[O-])ccc1O,CCCO,-5.782825681996654
15083,Clc1cc(Cl)cc(Cl)c1,CCCCO,-1.897786873873585
20576,Oc1c(Br)cc(Br)c2cccnc12,CCOC(C)=O,-6.394931652553473
44191,Nc1nnn[nH]1,CN1CCCC1=O,-3.142146292009527
40687,CCc1occc(=O)c1O,O,-5.914503505971854
35281,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCCO,-4.905194781638259
35568,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,C1CCOC1,-6.087975447488826
38079,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],C1COCCO1,-9.211340872309766
10099,Cc1cc(Cl)cc(C(=O)O)c1N,CCCO,-4.824321716032764
19079,O=C1OC(=O)C2C3C=CC(O3)C12,CC(C)=O,-2.655040380788595
41673,O=[N+]([O-])c1cccc(Cl)c1Cl,O,-11.260145444527712
28170,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CC(C)O,-9.21887670299847
6912,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CCO,-5.918771861714541
31687,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],O=C1CCCCC1,-1.8306458382805548
35431,Nc1nc(N)nc(NC2CC2)n1,CCCCCO,-6.555690947601088
19949,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,CC(C)=O,-4.069261781854637
20082,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCOC(C)=O,-5.683979847360021
1758,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CO,-7.995427627611912
53634,O=P(NCc1cccc(CNP(=O)(Oc2ccccc2)Oc2ccccc2)c1)(Oc1ccccc1)Oc1ccccc1,COC(C)COC(C)COC(C)CO,-5.518166350912816
18081,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CC(C)=O,-5.425696295877867
3471,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CO,-9.912730133903061
16440,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCCCO,-5.420033125232133
15993,Clc1ccc2c(c1)Nc1ccccc1S2,CCCCO,-5.314040327013273
37082,O=Cc1ccc(C=O)cc1,CCC(C)=O,-2.3048877420567213
25117,Sc1nc2ccccc2[nH]1,CC#N,-6.303439312128807
52426,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CCCCCCO,-1.806670081963809
47016,O=C(O)[C@@H]1C[C@@H](O)CN1,COC(C)=O,-8.785072636571838
1139,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CO,-6.16581793425276
47838,Cc1ccc2ccccc2c1,CCCCOC(C)=O,-0.050661914802227995
36668,Cc1ccc(NC(=O)/C(=C/Cl)Sc2ccccc2)cc1,CCC(C)=O,-2.5613558219514063
19230,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CC(C)=O,-3.801824213130071
25427,Cc1ccc(S(N)(=O)=O)cc1,CC#N,-2.137070654516472
14477,Nc1cc([N+](=O)[O-])ccc1Cl,CCCCO,-4.006333684899388
1353,NC(=O)c1cccnc1,CO,-2.283274743709551
26033,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,CC#N,-3.9310529313349516
36291,O=C(Nc1ccccc1)c1ccccc1,CCC(C)=O,-3.372609924810243
15046,O=[N+]([O-])c1ccc(S(=O)(=O)[O-])cc1.[Na+],CCCCO,-7.266432225591543
48169,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCCCCCC,-2.02646965691373
31788,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,O=C1CCCCC1,-7.721940787919139
7211,COC(=O)/C=C/C(=O)OC,CCO,-4.701570960274446
45117,O=C(O)c1ccccc1,OCCO,-2.675099100962524
7696,O=C(Oc1ccccc1)c1ccccc1O,CCO,-1.2402910670000475
38898,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C1COCCO1,-7.052781051032395
45464,CC[C@@H](C(N)=O)N1CCCC1=O,C1CCCCC1,-9.922262707862462
36272,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCC(C)=O,-5.625433508245225
13684,O=C(O)c1cccc(O)c1O,CCCCO,-2.51875303057183
27353,Cl.N=C(N=C(N)N)N1CCOCC1,CC(C)O,-7.143477612503207
796,O=[N+]([O-])c1ncccc1O,CO,-1.579879110192556
38433,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,C1COCCO1,-1.9428149441480107
35890,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],C1CCOC1,-3.3926341510016678
42839,Cc1n[nH]c2cc([N+](=O)[O-])ccc12,CN(C)C=O,-1.443923473956527
46706,Nc1ccc(S(N)(=O)=O)cc1,c1ccccc1,-6.432142410971891
31211,Fc1ccc(N=C2SCC3CCCN2C3)cc1,CCCCCCCCO,-3.341043458842408
47027,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],COC(C)=O,-5.121008351577626
20891,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCOC(C)=O,-8.87386813535497
34263,N#Cc1cccc([N+](=O)[O-])c1,CC(C)CO,-5.29034919689886
52509,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCCCOC(C)=O,-0.9278320777207144
36408,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)=O,-7.824046010856292
15259,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O.O,CCCCO,-3.4295968561838532
16888,O=C([O-])/C=C/C(=O)O.[Na+],CC(C)=O,-10.183201455338732
1247,NNC(=O)c1ccncc1,CO,-4.494076138482504
27208,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)O,-8.778557955550644
16642,NC(=O)[C@@H]1CCCN1,CC(C)=O,-1.8682734103283019
14317,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCCCO,-8.517193191416238
48734,O=C(NC1=NCCC2(CCCCC2)S1)c1ccccc1,CCCCCC,-8.573763542904631
6372,CS(=O)(=O)c1ccc(C=O)cc1,CCO,-6.257515599433468
11220,NNC(=O)c1ccncc1,CCCO,-5.307761825376036
51627,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],O=C1CCCO1,-2.530489961409966
16730,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CC(C)=O,-5.44311195145127
26615,COc1cc(Cl)nc(N)n1,CC#N,-5.2529616648272395
26844,C/C=C/C=C/C(=O)O,CC#N,-4.209082239692524
31995,O=[N+]([O-])N(CCO)CCO.O=[N+]([O-])O.O=[N+]([O-])O,Cc1ccccc1,-3.5903018907529423
35714,Cc1n[nH]c2cc([N+](=O)[O-])ccc12,C1CCOC1,-2.4710037446190087
30449,Nc1ccc([N+](=O)[O-])cc1N,CC(C)O,-6.66795128677482
25300,NC(=O)c1ccc(N)cc1,CC#N,-5.81516106263959
25209,Nc1cc([N+](=O)[O-])ccc1Cl,CC#N,-2.7015712350045007
42878,N[C@H](CC(=O)O)C(=O)O,CN(C)C=O,-4.226049053219529
36312,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCC(C)=O,-4.339128077702603
24280,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC#N,-5.780231646819607
24448,O=C(O)c1cccc(O)c1O,CC#N,-4.219227744368791
49460,COC(=O)c1ccc(C(=O)OC)cc1,ClC(Cl)Cl,-2.333717723053134
50454,C=CC(=O)NC(C)(C)C,CC(=O)N(C)C,-2.3238087294456724
21460,O=C(O)Cc1cccc2ccccc12,CCOC(C)=O,-1.9661128563728327
38129,N[C@H](Cc1c[nH]cn1)C(=O)O,C1COCCO1,-4.588313068921669
23591,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCOC(C)=O,-3.1540248525485843
13646,OCC(O)COc1ccc(Cl)cc1,CCCCO,-2.3822778619032943
39895,[NH3+]O.[NH3+]O.[O-]n1nnnc1-c1nnnn1[O-],O,-10.322341897763309
24623,CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,CC#N,-7.631361667026791
49821,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,ClC(Cl)Cl,-2.064457249034513
29746,C1CN2CCN1CC2,CC(C)O,-4.896860279837411
13674,O=C(Nc1ccccc1)c1ccccc1O,CCCCO,-3.699843338438933
41918,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,O,-10.270212832328362
47064,O=C(O)c1cccc(O)c1O,COC(C)=O,-2.779653619961903
31615,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,O=C1CCCCC1,-4.575611383746547
5255,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CCO,-8.485210145563187
36015,O=C(O)c1ccccc1C(=O)O,C1CCOC1,-2.5845502051165976
20664,COc1cc([N+](=O)[O-])ccc1N,CCOC(C)=O,-3.025161084244803
23873,O=C(O)CNCc1ccccc1,ClCCl,-9.772459290129724
22556,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2S1=O,CCOC(C)=O,-5.757563070340848
49259,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,CCOC=O,-5.504530057202265
24727,O=C(O)Cc1ccc([N+](=O)[O-])cc1,CC#N,-3.283414346005772
722,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,CO,-8.297254771050977
9800,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CCO,-4.5803507521715785
47586,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,COC(C)=O,-4.4236823099427145
20164,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,CCOC(C)=O,-3.719338661598645
53579,O=P12OCC(CO)(CO1)CO2,CCCOCC(C)O,-5.701365398140596
31602,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=C1CCCCC1,-1.637323115923636
