,SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source
302,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,303.15,0.00256,methanol,CO,10.1021/acs.jced.0c00040
307,CC1=NN(c2ccccc2)C(=O)C1,303.15,0.040185,methanol,CO,10.1021/acs.jced.0c00290
312,Cl.N=C(N=C(N)N)N1CCOCC1,303.15,0.026788,methanol,CO,10.1021/acs.jced.0c00015
317,O=C(O)CNCc1ccccc1,303.15,0.003355,methanol,CO,10.1021/acs.jced.1c00050
325,O=C(O)c1cccc([N+](=O)[O-])c1O,303.15,0.0888,methanol,CO,10.1021/acs.jced.1c00259
332,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,303.15,0.022278,methanol,CO,10.1021/acs.jced.1c00239
341,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,303.15,0.001407,methanol,CO,10.1021/acs.jced.1c00302
346,CCOC(=O)[C@@H]1CSCN1.Cl,303.15,0.083468,methanol,CO,10.1021/acs.jced.1c00079
351,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,303.15,0.195917,methanol,CO,10.1021/acs.jced.1c00201
359,O=C(O)c1cccc(C(=O)O)n1,303.15,0.011805,methanol,CO,10.1021/acs.jced.1c00200
368,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,303.15,0.03783,methanol,CO,10.1021/acs.jced.1c00232
377,Nc1cccc(C(=O)O)c1,303.15,0.01658,methanol,CO,10.1021/acs.jced.1c00247
384,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,303.15,0.079415,methanol,CO,10.1021/acs.jced.1c00240
400,O=C1N=c2ccccc2=N1,303.15,0.0041523,methanol,CO,10.1021/acs.jced.0c00165
411,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.2119,methanol,CO,10.1021/acs.jced.0c00166
420,O=c1cc(CBr)c2ccccc2[nH]1,303.15,0.000234,methanol,CO,10.1021/acs.jced.0c00303
425,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,303.15,0.00286677,methanol,CO,10.1021/acs.jced.0c00332
430,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,303.15,0.015078,methanol,CO,10.1021/acs.jced.0c00353
436,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl,303.15,0.013,methanol,CO,10.1021/acs.jced.1c00432
446,COc1cc2c(cc1OC)C(=O)CC2,303.15,0.031691,methanol,CO,10.1021/acs.jced.1c00040
455,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,303.15,4.959e-05,methanol,CO,10.1021/acs.jced.0c01067
464,CC(=O)NCC(=O)O,303.15,0.009522,methanol,CO,10.1021/acs.jced.0c00983
473,CC(=O)N1CCC[C@H]1C(=O)O,303.15,0.20965,methanol,CO,10.1021/acs.jced.1c00032
478,NC1CCSC1=O,303.15,0.022611,methanol,CO,10.1021/acs.jced.0c01089
485,CCCOC(=O)c1ccc(O)cc1,303.15,0.2033,methanol,CO,10.1021/acs.jced.0c00584
495,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,303.15,0.06887,methanol,CO,10.1021/acs.jced.0c00513
503,C=CC(=O)NC(C)(C)CS(=O)(=O)O,303.15,0.01627,methanol,CO,10.1021/acs.jced.0c00578
513,O=C(O)Cc1ccccc1[N+](=O)[O-],303.15,0.06727,methanol,CO,10.1021/acs.jced.0c00543
523,O=[N+]([O-])N(CCO)CCO.O=[N+]([O-])O.O=[N+]([O-])O,303.15,0.01263,methanol,CO,10.1021/acs.jced.0c00211
530,O=C(O)Cc1ccc([N+](=O)[O-])cc1,303.15,0.1946,methanol,CO,10.1021/acs.jced.0c00182
538,N[C@@H](CS)C(=O)O,303.15,0.002191,methanol,CO,10.1021/acs.jced.0c00031
545,Oc1ccc(OCc2ccccc2)cc1,303.15,0.09076,methanol,CO,10.1021/acs.jced.9b00817
550,O=C([O-])/C=C/C(=O)O.[Na+],303.15,0.0004949,methanol,CO,10.1021/acs.jced.9b01203
556,O=c1[nH]c2ccccc2c(=O)o1,303.15,0.002431,methanol,CO,10.1021/acs.jced.9b01164
566,O=C[C@H](O)[C@H](O)[C@H](O)CO,303.15,0.1076093,methanol,CO,10.1021/acs.jced.0c00009
570,Oc1c(Br)cc(Br)c2cccnc12,303.15,0.0001309,methanol,CO,10.1021/acs.jced.9b01190
581,Cc1c(Br)cccc1C(=O)O,303.15,0.04794,methanol,CO,10.1021/acs.jced.9b01007
606,CC(=O)N[C@@H](CC(C)C)C(=O)O,303.15,0.05138,methanol,CO,10.1021/acs.jced.9b01151
617,CN(C)Cc1c[nH]c2ccccc12,303.15,0.04738,methanol,CO,10.1021/acs.jced.9b00911
624,CN(C)Cc1c[nH]c2ccccc12,303.15,0.0056679,methanol,CO,10.1021/acs.jced.9b01063
631,C[C@H](N)C(=O)O,303.15,0.00049,methanol,CO,10.1021/acs.jced.9b00743
646,COc1cc([N+](=O)[O-])ccc1N,303.15,0.005649,methanol,CO,10.1021/acs.jced.9b00991
656,O=Cc1ccc(O)c(Br)c1,303.15,0.01213,methanol,CO,10.1021/acs.jced.9b01004
667,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],303.15,0.001,methanol,CO,10.1021/acs.jced.9b00999
675,Nc1ccc(Cl)cc1[N+](=O)[O-],303.15,0.03399,methanol,CO,10.1021/acs.jced.9b00919
682,O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12.[Na+].[Na+],303.15,0.0002511,methanol,CO,10.1021/acs.jced.9b00029
691,O=C(O)c1cccnc1Cl,303.15,0.006965,methanol,CO,10.1021/acs.jced.9b00661
696,O=C(O)[C@@H]1CCCN1,303.15,0.069556,methanol,CO,10.1021/acs.jced.9b00802
703,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,303.15,0.0143434,methanol,CO,10.1021/acs.jced.9b00703
713,NC(N)=NC(N)=NCCc1ccccc1,303.15,0.005324,methanol,CO,10.1021/acs.jced.9b00844
722,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,303.15,0.0002492,methanol,CO,10.1021/acs.jced.9b00490
743,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,303.15,0.001818,methanol,CO,10.1021/acs.jced.9b00778
753,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,303.15,0.0002584,methanol,CO,10.1021/acs.jced.9b00693
764,N[C@H](Cc1c[nH]cn1)C(=O)O,303.15,0.0003301,methanol,CO,10.1021/acs.jced.9b00659
776,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,303.15,0.0007499,methanol,CO,10.1021/acs.jced.8b00632
787,O=P(O)(O)c1ccccc1,303.15,0.34665,methanol,CO,10.1021/acs.jced.9b00362
796,O=[N+]([O-])c1ncccc1O,303.15,0.206,methanol,CO,10.1021/acs.jced.9b00564
804,COC(=O)c1ccc(C(=O)OC)cc1,303.15,0.0021457,methanol,CO,10.1021/acs.jced.9b00658
813,N=C(N)NC(N)=S,303.15,0.01047,methanol,CO,10.1021/acs.jced.9b00458
832,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,303.15,0.00543,methanol,CO,10.1021/acs.jced.7b00695
841,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,303.15,0.000879,methanol,CO,10.1021/acs.jced.7b00518
851,O=C1C=CC(=O)N1c1ccccc1Br,303.15,0.03561,methanol,CO,10.1021/acs.jced.9b00560
871,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,303.15,0.00384,methanol,CO,10.1021/acs.jced.9b00696
877,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,303.15,9.66e-05,methanol,CO,10.1021/acs.jced.9b00432
884,N[C@@H](CO)C(=O)O,303.15,5.5e-05,methanol,CO,10.1021/acs.jced.9b00460
895,Cc1nc(N)nc(N)n1,303.15,0.000365,methanol,CO,10.1021/acs.jced.9b00593
905,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,303.15,0.00102,methanol,CO,10.1021/acs.jced.9b00562
918,Cc1cnc(C(=O)O)cn1,303.15,2.01e-05,methanol,CO,10.1021/acs.jced.9b00406
925,Nc1nnn[nH]1,303.15,0.000954,methanol,CO,10.1021/acs.jced.9b00385
931,NNC(=O)NN.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,303.15,0.0002201,methanol,CO,10.1021/acs.jced.9b00275
956,Sc1nc2ccccc2[nH]1,303.15,0.01228,methanol,CO,10.1021/acs.jced.9b00190
965,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,303.15,0.04523,methanol,CO,10.1021/acs.jced.9b00294
975,NS(=O)(=O)c1ccccc1,303.15,0.06098,methanol,CO,10.1021/acs.jced.9b00360
985,CN(C)/C=C/C(=O)c1cccnc1,303.15,0.04266,methanol,CO,10.1021/acs.jced.9b00047
997,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,303.15,0.003257,methanol,CO,10.1021/acs.jced.9b00310
1005,N#Cc1cccc([N+](=O)[O-])c1C#N,303.15,0.004517,methanol,CO,10.1021/acs.jced.8b01250
1016,O=Cc1cc([N+](=O)[O-])ccc1O,303.15,0.006448,methanol,CO,10.1021/acs.jced.9b00232
1031,N[C@H](CC(=O)O)C(=O)O,303.15,0.0005812,methanol,CO,10.1021/acs.jced.9b00320
1043,N#CCc1ccccc1[N+](=O)[O-],303.15,0.0235,methanol,CO,10.1021/acs.jced.9b00243
1056,Nc1cc([N+](=O)[O-])ccc1Cl,303.15,0.0193,methanol,CO,10.1021/acs.jced.8b00931
1065,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,303.15,0.003066,methanol,CO,10.1021/acs.jced.8b01181
1074,N#CCC(N)=O,303.15,0.03997,methanol,CO,10.1021/acs.jced.8b01205
1083,Cc1cccc(C(=O)O)c1N,303.15,0.04234,methanol,CO,10.1021/acs.jced.8b01226
1092,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,303.15,0.0001163,methanol,CO,10.1021/acs.jced.8b01080
1102,Nc1cccc2c(N)cccc12,303.15,0.002783,methanol,CO,10.1021/acs.jced.8b01214
1111,Nc1cccc2cccc(N)c12,303.15,0.0551,methanol,CO,10.1021/acs.jced.8b01214
1118,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,303.15,3.568e-05,methanol,CO,10.1021/acs.jced.8b01051
1128,O=C(O)Cc1c[nH]c2ccccc12,303.15,1.383e-05,methanol,CO,10.1021/acs.jced.8b01265
1139,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,303.15,0.0021,methanol,CO,10.1021/acs.jced.8b01062
1147,NC(=O)c1ccc(N)cc1,303.15,0.01879,methanol,CO,10.1021/acs.jced.8b01144
1158,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,303.15,0.0154,methanol,CO,10.1021/acs.jced.8b01099
1166,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,303.15,3.149e-06,methanol,CO,10.1021/acs.jced.8b01126
1188,Cc1nc(C)c(C)nc1C,303.15,0.26223,methanol,CO,10.1021/acs.jced.8b00888
1196,Nc1nc(Cl)c2[nH]cnc2n1,303.15,9.43e-05,methanol,CO,10.1021/acs.jced.8b01014
1209,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,303.15,0.000637,methanol,CO,10.1021/acs.jced.8b00902
1217,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,303.15,0.0008899,methanol,CO,10.1021/acs.jced.8b00663
1227,N#CCc1ccc([N+](=O)[O-])cc1,303.15,0.006948,methanol,CO,10.1021/acs.jced.8b00811
1238,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,303.15,0.00035515,methanol,CO,10.1021/acs.jced.8b00717
1247,NNC(=O)c1ccncc1,303.15,0.011175,methanol,CO,10.1021/acs.jced.8b00785
1256,CC[C@@H](C(N)=O)N1CCCC1=O,303.15,0.1578,methanol,CO,10.1021/acs.jced.8b00720
1263,O=C(O)c1cc2ccccc2cc1O,303.15,0.018,methanol,CO,10.1021/acs.jced.8b00578
1275,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,303.15,0.004114,methanol,CO,10.1021/acs.jced.8b00551
1286,CC(C)(C#N)N=NC(C)(C)C#N,303.15,0.0212,methanol,CO,10.1021/acs.jced.7b00538
1296,CC1(C)COP(=O)(C(Nc2ccccc2)c2ccccc2)OC1,303.15,0.0045,methanol,CO,10.1021/acs.jced.7b00585
1305,Cc1ccc(S(N)(=O)=O)cc1,303.15,0.07298,methanol,CO,10.1021/acs.jced.7b00714
1313,Cc1ccccc1S(N)(=O)=O,303.15,0.04249,methanol,CO,10.1021/acs.jced.7b00714
1322,N#Cc1cccc([N+](=O)[O-])c1,303.15,0.01116,methanol,CO,10.1021/acs.jced.7b00615
1345,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,303.15,0.001411,methanol,CO,10.1021/acs.jced.7b00542
1353,NC(=O)c1cccnc1,303.15,0.1019498,methanol,CO,10.1021/acs.jced.8b00560
1364,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,303.15,0.0006663,methanol,CO,10.1021/acs.jced.8b00416
1382,Nc1nc(Cl)cc(Cl)n1,303.15,0.002511,methanol,CO,10.1021/acs.jced.8b00292
1391,O=C(O)c1c(O)cccc1O,303.15,0.27568,methanol,CO,10.1021/acs.jced.6b00957
1399,O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.00366,methanol,CO,10.1021/acs.jced.7b00238
1408,COc1cc(C(=O)O)cc(OC)c1O,303.15,0.02085,methanol,CO,10.1021/acs.jced.7b00333
1438,On1nnc2ccccc21,303.15,0.04445,methanol,CO,10.1021/acs.jced.7b00316
1445,CC(C)(C)c1ccc(C(=O)O)cc1,303.15,0.0685,methanol,CO,10.1021/acs.jced.6b00965
1469,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,303.15,0.006821,methanol,CO,10.1021/acs.jced.8b00235
1479,O=c1nc[nH]c2[nH]ncc12,303.15,7.596e-05,methanol,CO,10.1021/acs.jced.8b00430
1490,Cc1cc(C)nc(Nc2ccccc2)n1,303.15,0.03106,methanol,CO,10.1021/acs.jced.8b00124
1500,CC(=O)c1cccc([N+](=O)[O-])c1,303.15,0.01828,methanol,CO,10.1021/acs.jced.8b00192
1509,CC(=O)c1ccc([N+](=O)[O-])cc1,303.15,0.02306,methanol,CO,10.1021/acs.jced.8b00192
1519,COc1ccc(C(=O)N2CCCC2=O)cc1,303.15,0.006099,methanol,CO,10.1021/acs.jced.8b00023
1527,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,303.15,0.006965,methanol,CO,10.1021/acs.jced.7b01134
1544,O=C(c1ccccc1)c1ccccc1,303.15,0.1299,methanol,CO,10.1021/acs.jced.8b00196
1554,O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.002928,methanol,CO,10.1021/acs.jced.7b00743
1558,O=C(O)c1ccccc1O,303.15,0.13718,methanol,CO,10.1021/acs.jced.7b00665
1574,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,303.15,0.002782,methanol,CO,10.1021/acs.jced.7b00825
1585,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O.[Na],303.15,0.000454,methanol,CO,10.1021/acs.jced.7b00846
1594,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Na+].[Na+],303.15,0.0128641,methanol,CO,10.1021/acs.jced.7b00638
1602,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,303.15,0.002704,methanol,CO,10.1021/acs.jced.7b00669
1610,O=C(O)CS.[Na],303.15,0.001457,methanol,CO,10.1021/acs.jced.7b00245
1629,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],303.15,0.0020159,methanol,CO,10.1021/acs.jced.6b00761
1646,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,303.15,0.04548,methanol,CO,10.1021/acs.jced.6b00721
1661,CC(=O)c1ccc(S(C)(=O)=O)cc1,303.15,0.0281,methanol,CO,10.1021/acs.jced.6b00617
1673,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,303.15,0.0049043,methanol,CO,10.1021/acs.jced.6b00349
1679,O=C(O)/C=C/c1ccc(O)cc1,303.15,0.0438,methanol,CO,10.1021/acs.jced.6b00361
1695,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,303.15,0.003716,methanol,CO,10.1021/acs.jced.6b00230
1727,CCOC(=O)c1ccc(N)cc1,303.15,0.1202,methanol,CO,10.1021/acs.jced.6b00037
1750,CS(=O)(=O)c1ccc(C=O)cc1,303.15,0.004311,methanol,CO,10.1021/acs.jced.5b01053
1758,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,303.15,0.000337,methanol,CO,10.1021/acs.jced.5b00565
1798,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,303.15,0.00192,methanol,CO,10.1021/acs.jced.5b00122
1820,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.0008707,methanol,CO,10.1021/acs.jced.5b00714
1829,O=C1OC(=O)c2c(Cl)cccc21,303.15,0.09678,methanol,CO,10.1021/acs.jced.5b00526
1839,O=C1OC(=O)c2cc(Cl)ccc21,303.15,0.1671,methanol,CO,10.1021/acs.jced.5b00526
1861,O=Cc1ccc2ccccc2c1,303.15,0.04183,methanol,CO,10.1021/acs.jced.5b00377
1866,Nc1ccc(Cc2ccc(N)cc2)cc1,303.15,0.187,methanol,CO,10.1021/je501111d
1898,C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,303.15,0.074272,methanol,CO,10.1021/acs.jced.5b00190
1907,O=P(NCc1ccccc1)(Oc1ccccc1)Oc1ccccc1,303.15,0.02306,methanol,CO,10.1021/acs.jced.5b00007
1917,O=[N+]([O-])N1CN2CN(C1)CN([N+](=O)[O-])C2,303.15,6.66727e-09,methanol,CO,10.1021/acs.jced.5b00033
1921,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,303.15,0.0104685,methanol,CO,10.1021/je5010033
1938,CC1(C)COC(=O)[C@@H]1O,303.15,0.4216,methanol,CO,10.1021/je500996n
1945,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,303.15,0.0022401,methanol,CO,10.1021/je501004g
1954,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,303.15,0.010461,methanol,CO,10.1021/je501004g
1972,CC1(C)COP(=O)(C(C)(O)c2ccccc2)OC1,303.15,0.01957,methanol,CO,10.1021/je500806u
1979,O=C(O)c1ccc(O)c(O)c1,303.15,0.06538,methanol,CO,10.1021/je500519y
1986,Nc1cc(Cl)nnc1Cl,303.15,0.016917,methanol,CO,10.1021/je500286x
1997,Nc1ccc(S(=O)(=O)O)cc1,303.15,0.000342,methanol,CO,10.1021/je500867u
2016,c1ccc2c(c1)sc1ccccc12,303.15,0.00331,methanol,CO,10.1021/je500437m
2040,O=C1N2CN3C(=O)N([N+](=O)[O-])C4C3N(CN3C(=O)N([N+](=O)[O-])C(C23)N1[N+](=O)[O-])C(=O)N4[N+](=O)[O-],303.15,1.261e-05,methanol,CO,10.1021/je500392g
2048,C[N+](C)(C)C[C@H](O)CC(=O)[O-],303.15,0.127123,methanol,CO,10.1021/je500078n
2090,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,303.15,0.0193,methanol,CO,10.1021/je4010257
2117,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,303.15,0.1247,methanol,CO,10.1021/je400507u
2123,O=C1OC(=O)c2ccc(Br)c3cccc1c23,303.15,0.0002125,methanol,CO,10.1021/je400259a
2128,CCNc1nc(Cl)nc(NC(C)C)n1,303.15,0.0036265,methanol,CO,10.1021/je400639m
2131,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,303.15,9.8362e-05,methanol,CO,10.1021/je400412z
2148,O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],303.15,0.0171022,methanol,CO,10.1021/je4005992
2168,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,303.15,0.000955,methanol,CO,10.1021/je400218d
2175,Clc1ccc(SSc2ccc(Cl)cc2)cc1,303.15,0.00014,methanol,CO,10.1021/je301243f
2190,O=P(CCCO)(CCCO)CCCO,303.15,0.07018,methanol,CO,10.1021/je301029j
2219,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,303.15,0.0011689,methanol,CO,10.1021/je300647k
2297,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],303.15,0.0113,methanol,CO,10.1021/je1012839
2341,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,303.15,0.0101101,methanol,CO,10.1021/je101230a
2370,CP(=O)(O)c1ccccc1,303.15,0.3432,methanol,CO,10.1021/je1009812
2386,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,303.15,0.0012209,methanol,CO,10.1021/je101208p
2424,COc1ccc(P(=O)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,303.15,0.00031,methanol,CO,10.1021/je100341q
2461,N[C@@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,303.15,0.0009093,methanol,CO,10.1021/je100352r
2487,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,303.15,6.624e-07,methanol,CO,10.1021/je900851k
