,smiles,solvent,logsol,ET(30) (kcal mol-1),ETN
8898,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CCO,-3.7017620799449498,51.9,0.654
47284,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,COC(C)=O,-8.124745780389377,38.9,0.253
16304,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCCCO,-4.699810590142213,49.7,0.586
4690,O=C(O)c1cccc(O)c1O,CCO,-2.3296480125437347,51.9,0.654
6472,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCO,-10.099502436462084,51.9,0.654
28701,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,CC(C)O,-6.891881929825847,48.4,0.546
28225,NC(=O)c1ccc(N)cc1,CC(C)O,-5.32527754813082,48.4,0.546
30234,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC(C)O,-7.311222384427628,48.4,0.546
26920,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CC#N,-10.719932949440569,45.6,0.46
27723,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC(C)O,-9.699730715022108,48.4,0.546
27083,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC(C)O,-5.306147945663225,48.4,0.546
46660,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ClC(Cl)(Cl)Cl,-5.665908822228119,32.4,0.052
37329,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)O,-4.772406105364005,47.1,0.506
359,O=C(O)c1cccc(C(=O)O)n1,CO,-4.439232108444661,55.4,0.762
8500,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],CCO,-5.215263811412751,51.9,0.654
17569,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,CC(C)=O,-6.51166733268657,42.2,0.355
17034,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CC(C)=O,-7.050010326563008,42.2,0.355
16883,Oc1ccc(OCc2ccccc2)cc1,CC(C)=O,-10.381523353479128,42.2,0.355
47044,CCOc1ccccc1C(N)=O,COC(C)=O,-4.256628225279548,38.9,0.253
33817,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)CO,-2.9570886499617863,48.6,0.552
35895,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,C1CCOC1,-4.166915255056936,37.4,0.207
10499,O=C(O)Cc1ccccc1[N+](=O)[O-],CCCO,-3.2971076731377744,50.7,0.617
9650,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],CCO,-6.705631094892003,51.9,0.654
46485,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCOCC,-4.472389074754273,34.5,0.117
44902,CC(=O)c1ccc(S(C)(=O)=O)cc1,OCCO,-3.483492624388985,56.3,0.79
1128,O=C(O)Cc1c[nH]c2ccccc12,CO,-11.188670412287609,55.4,0.762
12434,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,CCCO,-5.0955398011867,50.7,0.617
1158,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,CO,-4.173387769562553,55.4,0.762
44785,O=C1C=CC(=O)N1c1ccccc1Br,OCCO,-4.622112906718403,56.3,0.79
45020,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,OCCO,-10.15348855802022,56.3,0.79
10310,O=C(O)c1cccc([N+](=O)[O-])c1O,CCCO,-2.5374217428993013,50.7,0.617
40687,CCc1occc(=O)c1O,O,-5.914503505971854,63.1,1.0
35281,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCCO,-4.905194781638259,49.1,0.586
35568,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,C1CCOC1,-6.087975447488826,37.4,0.207
38079,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],C1COCCO1,-9.211340872309766,36.0,0.164
10099,Cc1cc(Cl)cc(C(=O)O)c1N,CCCO,-4.824321716032764,50.7,0.617
28170,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CC(C)O,-9.21887670299847,48.4,0.546
6912,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CCO,-5.918771861714541,51.9,0.654
35431,Nc1nc(N)nc(NC2CC2)n1,CCCCCO,-6.555690947601088,49.1,0.586
19949,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,CC(C)=O,-4.069261781854637,42.2,0.355
20082,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCOC(C)=O,-5.683979847360021,38.1,0.228
1758,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CO,-7.995427627611912,55.4,0.762
18081,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CC(C)=O,-5.425696295877867,42.2,0.355
3471,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CO,-9.91273013390306,55.4,0.762
16440,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCCCO,-5.420033125232133,49.7,0.586
52426,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CCCCCCO,-1.806670081963809,48.8,0.559
47016,O=C(O)[C@@H]1C[C@@H](O)CN1,COC(C)=O,-8.785072636571838,38.9,0.253
1139,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CO,-6.16581793425276,55.4,0.762
36668,Cc1ccc(NC(=O)/C(=C/Cl)Sc2ccccc2)cc1,CCC(C)=O,-2.5613558219514063,41.3,0.327
1353,NC(=O)c1cccnc1,CO,-2.283274743709551,55.4,0.762
26033,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,CC#N,-3.931052931334952,45.6,0.46
36291,O=C(Nc1ccccc1)c1ccccc1,CCC(C)=O,-3.372609924810243,41.3,0.327
7211,COC(=O)/C=C/C(=O)OC,CCO,-4.701570960274446,51.9,0.654
45117,O=C(O)c1ccccc1,OCCO,-2.675099100962524,56.3,0.79
7696,O=C(Oc1ccccc1)c1ccccc1O,CCO,-1.2402910670000475,51.9,0.654
38898,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C1COCCO1,-7.052781051032395,36.0,0.164
45464,CC[C@@H](C(N)=O)N1CCCC1=O,C1CCCCC1,-9.922262707862462,30.9,0.006
36272,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCC(C)=O,-5.625433508245225,41.3,0.327
13684,O=C(O)c1cccc(O)c1O,CCCCO,-2.51875303057183,49.7,0.586
38433,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,C1COCCO1,-1.9428149441480107,36.0,0.164
47027,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],COC(C)=O,-5.121008351577626,38.9,0.253
20891,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCOC(C)=O,-8.87386813535497,38.1,0.228
36408,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)=O,-7.824046010856292,41.3,0.327
15259,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O.O,CCCCO,-3.429596856183853,49.7,0.586
16888,O=C([O-])/C=C/C(=O)O.[Na+],CC(C)=O,-10.183201455338732,42.2,0.355
1247,NNC(=O)c1ccncc1,CO,-4.494076138482504,55.4,0.762
27208,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)O,-8.778557955550644,48.4,0.546
16642,NC(=O)[C@@H]1CCCN1,CC(C)=O,-1.8682734103283016,42.2,0.355
14317,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CCCCO,-8.517193191416238,49.7,0.586
48734,O=C(NC1=NCCC2(CCCCC2)S1)c1ccccc1,CCCCCC,-8.573763542904631,31.0,0.009
11220,NNC(=O)c1ccncc1,CCCO,-5.307761825376036,50.7,0.617
16730,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CC(C)=O,-5.44311195145127,42.2,0.355
26615,COc1cc(Cl)nc(N)n1,CC#N,-5.25296166482724,45.6,0.46
26844,C/C=C/C=C/C(=O)O,CC#N,-4.209082239692524,45.6,0.46
25300,NC(=O)c1ccc(N)cc1,CC#N,-5.81516106263959,45.6,0.46
36312,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCC(C)=O,-4.339128077702603,41.3,0.327
24280,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC#N,-5.780231646819607,45.6,0.46
24448,O=C(O)c1cccc(O)c1O,CC#N,-4.219227744368791,45.6,0.46
49460,COC(=O)c1ccc(C(=O)OC)cc1,ClC(Cl)Cl,-2.333717723053134,39.1,0.259
21460,O=C(O)Cc1cccc2ccccc12,CCOC(C)=O,-1.9661128563728327,38.1,0.228
38129,N[C@H](Cc1c[nH]cn1)C(=O)O,C1COCCO1,-4.588313068921669,36.0,0.164
23591,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCOC(C)=O,-3.1540248525485843,38.1,0.228
13646,OCC(O)COc1ccc(Cl)cc1,CCCCO,-2.3822778619032943,49.7,0.586
39895,[NH3+]O.[NH3+]O.[O-]n1nnnc1-c1nnnn1[O-],O,-10.322341897763309,63.1,1.0
24623,CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,CC#N,-7.631361667026791,45.6,0.46
13674,O=C(Nc1ccccc1)c1ccccc1O,CCCCO,-3.699843338438933,49.7,0.586
41918,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,O,-10.270212832328362,63.1,1.0
47064,O=C(O)c1cccc(O)c1O,COC(C)=O,-2.779653619961903,38.9,0.253
5255,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CCO,-8.485210145563187,51.9,0.654
36015,O=C(O)c1ccccc1C(=O)O,C1CCOC1,-2.5845502051165976,37.4,0.207
20664,COc1cc([N+](=O)[O-])ccc1N,CCOC(C)=O,-3.025161084244803,38.1,0.228
23873,O=C(O)CNCc1ccccc1,ClCCl,-9.772459290129724,40.7,0.309
22556,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2S1=O,CCOC(C)=O,-5.757563070340848,38.1,0.228
49259,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,CCOC=O,-5.504530057202265,40.9,0.315
24727,O=C(O)Cc1ccc([N+](=O)[O-])cc1,CC#N,-3.283414346005772,45.6,0.46
722,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,CO,-8.297254771050977,55.4,0.762
9800,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CCO,-4.5803507521715785,51.9,0.654
47586,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,COC(C)=O,-4.4236823099427145,38.9,0.253
31602,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=C1CCCCC1,-1.637323115923636,39.8,0.281
10595,CC(=O)N[C@@H](CC(C)C)C(=O)O,CCCO,-3.4139787160268886,50.7,0.617
38627,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc2ccc(=O)oc2c1,C1COCCO1,-5.077737097636992,36.0,0.164
21671,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,CCOC(C)=O,-2.983171491509133,38.1,0.228
16580,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)=O,-6.18796616747577,42.2,0.355
48639,Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,-13.17365667179188,31.0,0.009
47257,NC(=O)c1ccc(N)cc1,COC(C)=O,-6.13118649028312,38.9,0.253
45098,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],OCCO,-5.620176890801404,56.3,0.79
24156,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,ClCCl,-3.868006120011372,40.7,0.309
41233,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,O,-6.37067728407208,63.1,1.0
10455,CC(=O)NCC(=O)O,CCCO,-5.654421045118477,50.7,0.617
5011,O=C(O)Cc1ccc([N+](=O)[O-])cc1,CCO,-2.05572501506252,51.9,0.654
33090,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,Cc1ccccc1,-6.7072664182327335,33.9,0.099
9406,Cc1ccc(C(C)C)c(O)c1,CCO,-0.3713535784793965,51.9,0.654
23913,CC(=O)N1CCC[C@H]1C(=O)O,ClCCl,-2.3285184750205503,40.7,0.309
20500,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCOC(C)=O,-5.691063702248426,38.1,0.228
14115,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CCCCO,-9.494030423158426,49.7,0.586
25339,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC#N,-5.737752994227354,45.6,0.46
33758,OCC(O)COc1ccc(Cl)cc1,CC(C)CO,-2.768118727568329,48.6,0.552
8403,N[C@H](Cc1c[nH]cn1)C(=O)O,CCO,-7.744772829961784,51.9,0.654
8888,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCO,-8.455627835758083,51.9,0.654
4475,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CCO,-8.01339218258721,51.9,0.654
52932,CCCCCCN1C=CN(C)C1.O=[N+]([O-])O,CCCCC,-7.455936689291897,31.0,0.009
5193,O=C(O)c1cccnc1Cl,CCO,-4.653835357969372,51.9,0.654
27550,CCCOC(=O)c1ccc(O)cc1,CC(C)O,-1.572623939311384,48.4,0.546
49798,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,ClC(Cl)Cl,-5.071181793964289,39.1,0.259
49398,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,ClC(Cl)Cl,-4.688551794927142,39.1,0.259
34209,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,CC(C)CO,-10.247105257318212,48.6,0.552
19192,O=C(O)COc1ccc(Cl)cc1Cl,CC(C)=O,-1.816462081868427,42.2,0.355
8289,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CCO,-7.011783349406184,51.9,0.654
22177,O=C(O)c1cccc(Cl)c1C(=O)c1ccccc1,CCOC(C)=O,-4.355969100354592,38.1,0.228
25407,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CC#N,-10.20459264532005,45.6,0.46
10046,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCO,-4.972761641668174,50.7,0.617
696,O=C(O)[C@@H]1CCCN1,CO,-2.6656230954623146,55.4,0.762
42171,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,O,-10.900446187477735,63.1,1.0
16831,CC(=O)N1CCC[C@H]1C(=O)O,CC(C)=O,-3.359000332962367,42.2,0.355
15928,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,CCCCO,-9.194467022819891,49.7,0.586
12938,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCCO,-3.519980917652122,50.7,0.617
28946,Nc1ccc(Cc2ccc(N)cc2)cc1,CC(C)O,-4.028556821684098,48.4,0.546
1527,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CO,-4.966857671750368,55.4,0.762
18164,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,CC(C)=O,-7.4888245561367315,42.2,0.355
26336,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CC#N,-3.867527765541595,45.6,0.46
36557,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,CCC(C)=O,-7.290627538437667,41.3,0.327
8567,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,CCO,-6.928774646206213,51.9,0.654
21269,CC[C@@H](C(N)=O)N1CCCC1=O,CCOC(C)=O,-4.562110696527644,38.1,0.228
47083,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,COC(C)=O,-3.858482238500116,38.9,0.253
35616,Cc1c(Br)cccc1C(=O)O,C1CCOC1,-1.4446016699811652,37.4,0.207
23482,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],CCOC(C)=O,-4.181865159751596,38.1,0.228
42990,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,CN(C)C=O,-3.479591449090168,43.2,0.386
6675,C[N+](C)(C)C[C@H](O)CC(=O)[O-],CCO,-2.9613888195315354,51.9,0.654
20133,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,CCOC(C)=O,-6.990050521708967,38.1,0.228
44925,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,OCCO,-8.310179022031912,56.3,0.79
